split,model,band_total_row_diff_target,changed_rows,swaps,fixes,breaks,net_gain_rows,flip_precision,anchor_accuracy,candidate_accuracy,delta_accuracy
val_random_uniform_seed2011,ridge_fast,500,84,42,48,36,12,0.5714285714285714,0.7651530306061213,0.7657531506301261,0.0006001200240047799
val_random_uniform_seed2011,ridge_fast,850,84,42,48,36,12,0.5714285714285714,0.7651530306061213,0.7657531506301261,0.0006001200240047799
val_random_uniform_seed202,ridge_fast,50,50,25,34,16,18,0.68,0.757751550310062,0.7586517303460693,0.0009001800360072254
val_random_uniform_seed202,ridge_fast,100,62,31,39,23,16,0.6290322580645161,0.757751550310062,0.7585517103420684,0.0008001600320063362
val_random_uniform_seed202,ridge_fast,150,62,31,39,23,16,0.6290322580645161,0.757751550310062,0.7585517103420684,0.0008001600320063362
val_random_uniform_seed202,ridge_fast,300,62,31,39,23,16,0.6290322580645161,0.757751550310062,0.7585517103420684,0.0008001600320063362
val_random_uniform_seed202,ridge_fast,500,62,31,39,23,16,0.6290322580645161,0.757751550310062,0.7585517103420684,0.0008001600320063362
val_random_uniform_seed202,ridge_fast,850,62,31,39,23,16,0.6290322580645161,0.757751550310062,0.7585517103420684,0.0008001600320063362
val_random_uniform_seed303,ridge_fast,50,50,25,28,22,6,0.56,0.7620524104820964,0.7623524704940988,0.0003000600120024455
val_random_uniform_seed303,ridge_fast,100,80,40,37,43,-6,0.4625,0.7620524104820964,0.761752350470094,-0.00030006001200233445
val_random_uniform_seed303,ridge_fast,150,80,40,37,43,-6,0.4625,0.7620524104820964,0.761752350470094,-0.00030006001200233445
val_random_uniform_seed303,ridge_fast,300,80,40,37,43,-6,0.4625,0.7620524104820964,0.761752350470094,-0.00030006001200233445
val_random_uniform_seed303,ridge_fast,500,80,40,37,43,-6,0.4625,0.7620524104820964,0.761752350470094,-0.00030006001200233445
val_random_uniform_seed303,ridge_fast,850,80,40,37,43,-6,0.4625,0.7620524104820964,0.761752350470094,-0.00030006001200233445
val_random_uniform_seed404,ridge_fast,50,50,25,32,18,14,0.64,0.7598519703940788,0.7605521104220844,0.0007001400280055581
val_random_uniform_seed404,ridge_fast,100,76,38,42,34,8,0.5526315789473685,0.7598519703940788,0.760252050410082,0.0004000800160032236
val_random_uniform_seed404,ridge_fast,150,76,38,42,34,8,0.5526315789473685,0.7598519703940788,0.760252050410082,0.0004000800160032236
val_random_uniform_seed404,ridge_fast,300,76,38,42,34,8,0.5526315789473685,0.7598519703940788,0.760252050410082,0.0004000800160032236
val_random_uniform_seed404,ridge_fast,500,76,38,42,34,8,0.5526315789473685,0.7598519703940788,0.760252050410082,0.0004000800160032236
